GEOID,NAME,totalE,totalM,nativeE,nativeM,foreign_bornE,foreign_bornM
"24510240200","Census Tract 2402, Baltimore city, Maryland",2996,264,2656,280,340,145
"24510250204","Census Tract 2502.04, Baltimore city, Maryland",4373,400,4356,401,17,20
"24510250206","Census Tract 2502.06, Baltimore city, Maryland",2004,290,1947,280,57,46
"24510250500","Census Tract 2505, Baltimore city, Maryland",6077,890,5583,853,494,337
"24510260101","Census Tract 2601.01, Baltimore city, Maryland",4665,378,4171,391,494,249
"24510260301","Census Tract 2603.01, Baltimore city, Maryland",4146,512,4004,528,142,95
"24510270600","Census Tract 2706, Baltimore city, Maryland",4675,461,4444,440,231,124
"24510010100","Census Tract 101, Baltimore city, Maryland",3039,296,2880,279,159,97
"24510010500","Census Tract 105, Baltimore city, Maryland",1695,104,1625,101,70,36
"24510070200","Census Tract 702, Baltimore city, Maryland",3053,390,2930,400,123,141
"24510070300","Census Tract 703, Baltimore city, Maryland",902,200,849,192,53,78
"24510070400","Census Tract 704, Baltimore city, Maryland",1359,163,1230,151,129,82
"24510080400","Census Tract 804, Baltimore city, Maryland",996,306,890,257,106,163
"24510130100","Census Tract 1301, Baltimore city, Maryland",2691,354,2670,351,21,19
"24510130200","Census Tract 1302, Baltimore city, Maryland",3434,528,3271,532,163,176
"24510130806","Census Tract 1308.06, Baltimore city, Maryland",1435,164,1394,169,41,32
"24510200200","Census Tract 2002, Baltimore city, Maryland",2504,461,2504,461,0,12
"24510200600","Census Tract 2006, Baltimore city, Maryland",2771,491,2668,472,103,88
"24510200701","Census Tract 2007.01, Baltimore city, Maryland",4636,439,4508,451,128,98
"24510270803","Census Tract 2708.03, Baltimore city, Maryland",6958,552,6668,592,290,166
"24510270901","Census Tract 2709.01, Baltimore city, Maryland",3972,535,3718,517,254,218
"24510271400","Census Tract 2714, Baltimore city, Maryland",3868,371,3382,289,486,163
"24510271600","Census Tract 2716, Baltimore city, Maryland",5336,695,5181,701,155,136
"24005408506","Census Tract 4085.06, Baltimore County, Maryland",4540,342,4101,334,439,118
"24005408507","Census Tract 4085.07, Baltimore County, Maryland",6560,562,4648,522,1912,388
"24005411101","Census Tract 4111.01, Baltimore County, Maryland",2266,161,2217,168,49,29
"24005411201","Census Tract 4112.01, Baltimore County, Maryland",3222,175,3155,170,67,43
"24005403701","Census Tract 4037.01, Baltimore County, Maryland",7332,624,6256,623,1076,433
"24005404402","Census Tract 4044.02, Baltimore County, Maryland",6096,341,5429,377,667,237
"24005405000","Census Tract 4050, Baltimore County, Maryland",4581,292,4416,285,165,95
"24005408302","Census Tract 4083.02, Baltimore County, Maryland",2983,163,2549,176,434,129
"24005408601","Census Tract 4086.01, Baltimore County, Maryland",4042,188,3526,177,516,149
"24005491000","Census Tract 4910, Baltimore County, Maryland",2272,148,2177,137,95,48
"24005451000","Census Tract 4510, Baltimore County, Maryland",1702,105,1651,102,51,31
"24005491300","Census Tract 4913, Baltimore County, Maryland",3457,329,2901,282,556,200
"24005491401","Census Tract 4914.01, Baltimore County, Maryland",5972,541,5133,490,839,315
"24005491500","Census Tract 4915, Baltimore County, Maryland",3987,450,3200,286,787,375
"24005492102","Census Tract 4921.02, Baltimore County, Maryland",2140,196,1968,212,172,113
"24005492200","Census Tract 4922, Baltimore County, Maryland",4867,394,4535,401,332,193
"24005404404","Census Tract 4044.04, Baltimore County, Maryland",4682,300,3979,340,703,180
"24005407001","Census Tract 4070.01, Baltimore County, Maryland",3109,212,2862,226,247,102
"24005407002","Census Tract 4070.02, Baltimore County, Maryland",6031,374,5704,340,327,165
"24005408303","Census Tract 4083.03, Baltimore County, Maryland",3538,178,3331,183,207,105
"24005408304","Census Tract 4083.04, Baltimore County, Maryland",4989,316,4325,323,664,196
"24005451300","Census Tract 4513, Baltimore County, Maryland",3920,461,3664,469,256,145
"24005451802","Census Tract 4518.02, Baltimore County, Maryland",3598,297,3437,275,161,172
"24005452400","Census Tract 4524, Baltimore County, Maryland",3308,262,3229,249,79,78
"24005490301","Census Tract 4903.01, Baltimore County, Maryland",6798,602,5820,547,978,377
"24005490701","Census Tract 4907.01, Baltimore County, Maryland",1799,162,1729,152,70,33
"24005490800","Census Tract 4908, Baltimore County, Maryland",3604,323,3303,315,301,122
"24005402503","Census Tract 4025.03, Baltimore County, Maryland",5100,459,4668,510,432,207
"24005403500","Census Tract 4035, Baltimore County, Maryland",5389,278,4195,264,1194,248
"24005408200","Census Tract 4082, Baltimore County, Maryland",1878,135,1789,138,89,46
